model	task	layer	num_records	first_token_jsd	first_token_kl_full_to_pruned	first_token_kl_pruned_to_full	generation_mean_jsd	generation_mean_kl_full_to_pruned	generation_mean_kl_pruned_to_full	performance_Bleu_1	performance_Bleu_2	performance_Bleu_3	performance_Bleu_4	performance_CIDEr	performance_METEOR	performance_ROUGE_L	summary_path
llava-v1.5-7b	refcoco	20	500	0.025344902087934315	0.12269342707842588	0.10204283263906837	0.022399553549010305	0.1119515130277723	0.09486699393577874	0.19419488597090734	0.07205212741632555	0.026771367799920995	0.012878547007952112	0.3400077265303481	0.11934260049490963	0.21938434865780485	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco/scoring_layer_20/layer_summary.json
llava-v1.5-7b	refcoco	21	500	0.024110656631179155	0.11517146474495531	0.09690426572412253	0.02281836048513651	0.11441005909070373	0.09615414462983608	0.1925151719486876	0.07497253452302462	0.0242696562721398	0.009937204481864125	0.31489527786740135	0.1238845718993266	0.22181628503781065	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco/scoring_layer_21/layer_summary.json
llava-v1.5-7b	refcoco	22	500	0.02512023759726435	0.12436097089201212	0.10139002725109458	0.02161584451375529	0.10668196207471192	0.0910868118070066	0.18861454046632764	0.07445061580783228	0.030698255375875203	0.016907696967066902	0.32814289511379535	0.11733607836651747	0.21284156146617444	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco/scoring_layer_22/layer_summary.json
llava-v1.5-7b	refcoco	23	500	0.0310079791136086	0.15902749489620327	0.12433169125393033	0.02875775088276714	0.14957036110013724	0.12288572236523032	0.18029350104815503	0.06239290079846763	0.01611042106416082	1.3236887920610318e-06	0.29062388610134904	0.11194428161580595	0.1999594106964651	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco/scoring_layer_23/layer_summary.json
llava-v1.5-7b	refcoco	24	500	0.02603711489867419	0.12518389205262065	0.10634553331136704	0.023533174249343574	0.11695291972532869	0.1005754056610167	0.18566552901017555	0.07313268574700889	0.024018464915517006	0.009919711164253888	0.3184760413872496	0.12034096316154828	0.21374001140277116	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco/scoring_layer_24/layer_summary.json
llava-v1.5-7b	refcoco	25	500	0.02870720856729895	0.1461543439216912	0.11424287048727275	0.03089062807057053	0.16438630990684033	0.13276675579324365	0.17528243752133676	0.06310345702237016	0.01606458996206175	1.306934174281339e-06	0.287933125140294	0.11095127025632479	0.20100838035055968	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco/scoring_layer_25/layer_summary.json
llava-v1.5-7b	refcoco	26	500	0.029538680285215377	0.15046887160092592	0.11839317122101783	0.02706143870484084	0.13907492804527283	0.11659975576400756	0.1733102253032328	0.06205915194449748	0.015987360624874557	1.3105999142269414e-06	0.29750906827616774	0.10917426782935014	0.19892772959611718	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco/scoring_layer_26/layer_summary.json
llava-v1.5-7b	refcoco	27	500	0.05435598332807422	0.33454379215836527	0.21708291836827992	0.048671888884156946	0.28225131712853907	0.21943559166789056	0.18271442655268397	0.0698984742251797	0.026745599522330715	0.013887628332683656	0.27817950634296945	0.10863056917285577	0.20614938716434542	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco/scoring_layer_27/layer_summary.json
llava-v1.5-7b	refcoco	28	500	0.037664598243311045	0.20727274872362614	0.14751043851673604	0.034339895769022404	0.18767694573104382	0.14741751675680279	0.1883814640697823	0.07346789679817432	0.026731438028002447	0.010662232127114089	0.309638329717969	0.11964717720068002	0.21467427009718143	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco/scoring_layer_28/layer_summary.json
llava-v1.5-7b	refcoco	29	500	0.03539317187666893	0.19150544898211955	0.1395107701048255	0.030492012006230654	0.1634399733878672	0.129527187615633	0.1800478305431568	0.07557957071049967	0.029880638871604866	0.015389224296653512	0.31926427690331616	0.11257705804973184	0.2026789209946641	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco/scoring_layer_29/layer_summary.json
llava-v1.5-7b	refcoco	30	500	0.04905766103416681	0.27182099436968565	0.19836472802609206	0.03822216122131795	0.20625023743137716	0.16589924614503979	0.17940979208578825	0.06418885232379039	0.012762581362150652	1.0882829918976369e-06	0.2986127089941056	0.11043178641064097	0.20373574546274859	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco/scoring_layer_30/layer_summary.json
llava-v1.5-7b	refcoco	31	500	0.04356776518560946	0.24453441032022238	0.17322938078641892	0.03697621289640665	0.20353905131667852	0.15792128770053387	0.18747813920944825	0.06730522409057865	0.01695441144692688	1.376122749753077e-06	0.3224275359156591	0.11642128748827567	0.21067558291421223	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/jsd_kl_result_relation/outputs/topk_64/llava-v1.5-7b/refcoco/scoring_layer_31/layer_summary.json
